time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.634633,0.0749,-0.1714,-0.1031,0.214
1.640301,0.2330,0.0265,-0.2929,0.375
1.653624,0.0836,0.2316,-0.1615,0.294
1.659923,0.0956,0.2544,-0.0788,0.283
1.672598,0.1411,0.0509,0.0890,0.174
1.680044,0.0613,-0.0565,-0.0118,0.084
1.692673,-0.0591,-0.0960,-0.0854,0.141
1.704108,-0.3172,0.0750,0.0169,0.326
1.712567,-0.0593,-0.0363,0.0637,0.094
1.720445,-0.6296,-0.0837,-0.1521,0.653
1.732905,-0.4998,-0.1834,-0.1436,0.551
1.740147,-0.4763,-0.0809,-0.2027,0.524
1.752557,-0.4735,0.0772,-0.0475,0.482
1.759845,-0.2155,0.1429,-0.1084,0.280
1.774021,-0.1597,0.0551,0.0530,0.177
1.779900,0.0006,-0.0499,0.2337,0.239
1.792739,-0.0226,-0.2684,0.3431,0.436
1.800096,0.0108,-0.2789,0.3232,0.427
1.812806,0.2022,-0.1013,0.2853,0.364
1.821736,0.2092,0.0622,0.3153,0.383
1.834064,0.2131,0.3579,0.3651,0.554
1.840112,0.1235,0.5127,0.3536,0.635
1.854376,0.0689,0.6672,0.1466,0.687
1.860134,0.0287,0.6157,0.1400,0.632
1.872891,-0.1309,0.4094,0.0404,0.432
1.879787,0.0736,0.3558,0.0263,0.364
1.892469,0.1707,0.2576,-0.0898,0.322
1.906093,0.2899,0.0758,-0.2278,0.376
1.913002,-0.2361,-0.4113,-0.2422,0.533
1.921692,-0.4256,-0.6540,-0.2216,0.811
1.932862,-0.8398,-0.5819,-0.3704,1.087
1.940137,-0.9865,-0.3607,-0.5807,1.200
1.954644,-1.3141,0.1047,-0.8579,1.573
1.959948,-1.4213,0.3016,-0.7825,1.650
1.972660,-1.0429,0.1297,-0.4448,1.141
1.981349,-1.3117,-0.2056,-0.3813,1.381
1.992575,-1.0352,-0.6685,0.0224,1.232
1.999813,-0.7226,-0.6452,-0.2986,1.014
2.013913,-0.4044,-0.3078,0.0473,0.510
2.020844,-0.1364,-0.0378,0.3133,0.344
2.033017,0.5793,0.1508,0.3895,0.714
2.040457,0.2661,0.0104,0.2925,0.396
2.054293,0.2471,-0.2231,0.0558,0.338
2.059898,0.3145,-0.2407,-0.2674,0.478
2.072340,0.3597,-0.1498,-0.4287,0.579
2.080483,0.2238,-0.1583,-0.9573,0.996
2.092839,0.0113,-0.4412,-1.0453,1.135
2.101231,-0.1415,-0.5181,-1.0148,1.148
2.115342,0.9147,-0.2697,-0.5735,1.113
2.121514,0.6395,0.5636,-0.1336,0.863
2.137404,3.0451,0.7223,0.8871,3.253
2.140550,2.0045,-0.0350,0.8075,2.161
2.153719,-0.0356,-1.2744,0.0020,1.275
2.160442,-0.4335,-1.1581,-0.0657,1.238
2.172742,-0.5671,-0.1659,-0.3202,0.672
2.180096,-0.7500,0.1633,-0.5505,0.945
2.192647,-2.0433,-0.1935,-1.4938,2.539
2.199964,-2.4768,-0.4848,-1.6036,2.990
2.213182,-2.2395,-0.3530,-1.4063,2.668
2.223397,-0.8580,0.0936,-1.1704,1.454
2.233689,0.8581,0.8306,0.7070,1.388
2.240140,0.7335,0.5062,0.9843,1.328
2.254676,0.6556,-0.1957,0.5295,0.865
2.260420,0.9171,-0.0882,0.4112,1.009
2.273724,1.2344,0.3525,0.2123,1.301
2.280449,1.4440,0.4433,0.0537,1.512
2.292879,0.8256,-0.2413,0.1483,0.873
2.301434,0.6565,-0.7951,-0.0116,1.031
2.313021,0.4168,-0.7515,0.1570,0.874
2.322649,0.7888,-0.2821,0.5685,1.012
2.332828,1.4829,0.3540,1.5506,2.175
2.340219,1.7880,0.4675,1.7457,2.542
2.354846,1.7425,0.0414,2.0216,2.669
2.360278,1.7011,-0.0848,1.7811,2.464
2.373152,1.9993,0.1778,1.7352,2.653
2.380114,2.0209,0.2063,1.5831,2.575
2.392772,1.5931,0.0230,1.1698,1.977
2.400122,0.4900,-0.1348,0.9621,1.088
2.412655,-1.2175,-0.0357,0.3395,1.264
2.421961,-1.6705,0.0464,0.3543,1.708
2.432869,-1.6715,0.2468,0.4435,1.747
2.440572,-1.5240,0.2961,0.4621,1.620
2.454563,-0.5981,0.9355,0.5105,1.222
2.460004,0.7272,1.0681,1.1101,1.703
2.473435,-0.0269,0.2922,0.8717,0.920
2.480634,0.1359,0.0342,0.0847,0.164
2.492936,-0.2886,-0.0054,-0.0569,0.294
2.500358,-0.1263,0.3618,-0.4724,0.608
2.513119,0.7622,0.7951,-0.3617,1.159
2.524241,1.0644,0.6794,-0.2365,1.285
2.532730,1.3447,0.1537,0.9045,1.628
2.541620,1.2738,-0.0665,1.3036,1.824
2.555716,-0.6537,-0.9230,0.1832,1.146
2.560245,-1.3384,-1.0694,-0.5098,1.787
2.574048,-1.7553,-0.6132,-1.3188,2.280
2.580062,-1.4446,-0.3026,-1.4763,2.088
2.592789,-0.5759,0.0060,-1.1609,1.296
2.601103,-0.5089,0.0063,-0.8241,0.969
2.613081,-0.3947,-0.1175,0.0858,0.421
2.622245,-0.3371,-0.1337,-0.9068,0.977
2.633653,-1.4540,-0.4908,-0.9392,1.799
2.640704,-1.3968,-0.5512,-0.7374,1.673
2.654209,-1.3844,-0.2703,-2.0397,2.480
2.660475,-0.8543,-0.1571,-2.3707,2.525
2.673824,-0.5087,0.0335,0.0339,0.511
2.680511,-1.2738,-0.1159,-0.6771,1.447
