time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.799444,-0.4053,-0.0124,1.5946,1.645
2.813353,-0.1866,-0.6454,1.7061,1.834
2.819799,0.2746,-0.2469,1.5077,1.552
2.833138,1.1896,1.0703,1.6975,2.333
2.838755,0.9254,1.2779,1.3273,2.062
2.851686,0.6395,0.8291,1.2689,1.645
2.860305,0.7353,0.1323,1.2665,1.470
2.872780,0.2551,0.9942,0.9774,1.417
2.883374,0.2267,0.5990,1.1347,1.303
2.896473,0.1634,-0.1033,1.6562,1.667
2.898506,0.2720,-0.3866,1.8576,1.917
2.911813,0.2118,0.2925,2.2757,2.304
2.919659,-1.0503,-0.3653,2.2920,2.548
2.931614,-2.6451,-1.5207,1.4648,3.384
2.938527,-2.5747,-0.6817,1.2825,2.956
2.952871,1.5451,-0.1517,1.4762,2.142
2.960474,1.6725,-0.2940,1.2573,2.113
2.971914,1.3107,1.2821,1.7357,2.525
2.979226,1.2668,1.4707,1.1976,2.281
2.996781,0.5202,0.0789,1.6964,1.776
2.998534,0.3761,0.2063,1.5385,1.597
3.015799,-0.2604,-1.4514,1.4504,2.068
3.018706,-0.3786,-3.1440,1.4883,3.499
3.031707,0.6333,-3.8830,1.7563,4.308
3.039898,1.1053,-2.3577,1.9478,3.252
3.052151,0.7575,0.9056,1.5829,1.975
3.060762,-0.0381,0.9427,1.5875,1.847
3.072655,-0.5461,0.2261,1.9433,2.031
3.079628,-0.4619,-0.1578,2.2238,2.277
3.098656,-0.2430,0.0658,1.9354,1.952
3.099849,0.1277,-0.6037,1.5192,1.640
3.115172,0.5249,-3.6478,1.3373,3.920
3.118778,1.3907,-2.9948,1.4333,3.600
3.133205,1.5104,-0.5853,1.8685,2.473
3.138711,0.6806,0.0408,1.9614,2.077
3.151682,0.1751,1.1638,2.0630,2.375
3.161444,-0.5600,1.0822,1.7213,2.109
3.171691,-0.4573,0.4517,1.9509,2.054
3.178731,-0.2017,0.7494,1.8107,1.970
3.198319,0.1275,0.4130,1.5142,1.575
3.199265,0.3520,-0.4719,1.5403,1.649
3.213202,0.8582,-0.3548,1.6500,1.893
3.218798,0.7475,0.1110,1.7453,1.902
3.232290,0.6295,0.3774,1.8274,1.969
3.238464,0.5578,0.3662,1.8581,1.974
3.253305,0.6724,-0.3970,2.0326,2.177
3.261409,0.7963,0.2142,1.8631,2.037
3.271766,0.5074,1.1996,1.5112,1.995
3.279652,0.4230,1.2728,1.6693,2.141
3.300114,0.1873,0.4057,1.9098,1.961
3.301107,-0.0025,-0.7119,2.0358,2.157
3.319305,0.7369,-1.0394,1.4358,1.920
3.320679,0.9216,-1.1103,1.3208,1.956
3.331863,1.0193,-0.4511,1.4091,1.797
3.340000,0.8451,-0.8183,1.4851,1.895
3.352333,1.3050,-1.8955,1.5801,2.792
3.360696,1.6945,-2.0849,1.5795,3.117
3.373265,1.6198,-1.4454,1.4748,2.624
3.379446,0.9871,-0.6876,1.3495,1.808
3.392358,0.2420,-0.7167,1.6385,1.805
3.400804,0.2827,-0.3895,1.7503,1.815
3.418181,0.4156,-0.1716,1.8839,1.937
3.419640,0.4142,-0.0966,1.9128,1.960
3.431857,0.3559,0.0193,1.6936,1.731
3.438593,1.9723,0.4203,1.5898,2.568
3.452006,1.4096,-0.6744,1.5085,2.172
3.462002,1.0836,-0.5898,1.6940,2.096
3.472003,0.6823,-0.2078,1.8724,2.004
3.479666,0.8152,0.5489,1.4625,1.762
3.492612,0.8934,1.1488,1.3711,1.999
3.503231,0.7601,0.6967,1.6398,1.937
3.524144,1.2498,0.2127,1.5912,2.034
3.526075,1.2999,-0.1150,1.3366,1.868
3.532061,1.1661,-0.0789,1.0654,1.582
3.538708,1.0620,0.0655,1.2939,1.675
3.552443,0.7303,0.7277,1.7608,2.040
3.558633,0.7483,0.9328,1.6131,2.008
3.571868,0.9725,0.9031,1.1200,1.737
3.584241,0.8716,0.7860,1.3473,1.787
3.593922,0.4422,0.2281,1.7508,1.820
3.600320,0.2822,0.3987,1.7484,1.815
3.613379,0.1248,0.8177,1.7852,1.968
3.619607,0.1393,0.9422,1.8575,2.087
3.632910,0.2934,1.0264,1.8750,2.158
3.640226,0.3645,0.9192,1.8815,2.125
3.652489,0.3553,0.6803,1.9989,2.141
3.659506,0.3797,0.7355,2.0933,2.251
3.672105,0.1005,0.7854,2.2592,2.394
3.685378,0.2325,0.9855,2.3283,2.539
3.695229,-0.0098,1.3288,2.2938,2.651
3.706815,-0.1371,1.4730,2.2982,2.733
3.711789,-0.1718,1.5023,2.2855,2.740
3.718878,0.0136,1.9769,2.1277,2.904
3.731863,-0.2393,2.6012,1.9214,3.243
3.738629,-0.4594,2.5591,1.9017,3.221
3.751600,-0.6001,1.7812,2.1586,2.862
3.758776,-0.4044,1.1580,2.4672,2.755
3.771907,0.1215,-0.0317,2.8737,2.876
3.781818,0.6467,-0.3658,3.0310,3.121
3.792965,1.2163,0.0721,3.0908,3.322
3.798837,1.1615,0.2525,3.3201,3.526
3.811663,0.9718,0.3360,3.6389,3.781
3.818625,0.8871,0.1960,3.7390,3.848
3.831780,1.1570,-0.3080,3.6535,3.845
3.838504,1.3990,-0.6566,3.7901,4.093
3.852621,1.8809,-1.2140,4.1739,4.736
3.858797,2.1110,-1.5896,4.3850,5.120
3.871642,3.1180,-1.9054,4.3080,5.649
3.878870,3.3893,-2.2752,4.5007,6.076
3.892905,3.6853,-2.9640,4.9198,6.824
3.898851,3.9918,-3.2746,5.0803,7.243
3.915345,4.8187,-4.0806,5.0095,8.060
3.919273,5.9304,-4.6056,4.3623,8.684
3.931718,6.8983,-6.0719,2.8997,9.637
3.939332,6.9150,-5.7928,2.9281,9.484
3.952171,5.5376,-3.5543,4.6752,8.072
3.958573,4.6941,-2.8966,5.7120,7.941
3.971807,3.7179,-2.3423,6.4687,7.820
3.983912,2.6406,-2.2012,7.1496,7.933
3.993060,0.7335,-0.9980,7.9802,8.076
4.000964,0.2114,-0.7678,7.3050,7.348
